DIA,viajeros,Fecha,Total de viajeros
2018-09-24,283,2018,10781572
2018-09-25,164,2018,10781572
2018-09-26,173,2018,10781572
2018-09-27,347,2018,10781572
2018-09-28,994,2018,10781572
2018-09-29,298,2018,10781572
2018-09-30,788,2018,10781572
2018-10-01,277,2018,10781572
2018-10-02,150,2018,10781572
2018-10-03,202,2018,10781572
2018-10-04,317,2018,10781572
2018-10-05,927,2018,10781572
2018-10-06,326,2018,10781572
2018-10-07,781,2018,10781572
2018-10-08,312,2018,10781572
2018-10-09,195,2018,10781572
2018-10-10,242,2018,10781572
2018-10-11,1262,2018,10781572
2018-10-12,636,2018,10781572
2018-10-13,205,2018,10781572
2018-10-14,1027,2018,10781572
2018-10-15,394,2018,10781572
2018-10-16,162,2018,10781572
2018-10-17,167,2018,10781572
2018-10-18,233,2018,10781572
2018-10-19,788,2018,10781572
2018-10-20,302,2018,10781572
2018-10-21,679,2018,10781572
2018-10-22,297,2018,10781572
2018-10-23,184,2018,10781572
2018-10-24,208,2018,10781572
2018-10-25,294,2018,10781572
2018-10-26,849,2018,10781572
2018-10-27,292,2018,10781572
2018-10-28,621,2018,10781572
2018-10-29,247,2018,10781572
2018-10-30,174,2018,10781572
2018-10-31,1083,2018,10781572
2018-11-01,531,2018,10781572
2018-11-02,516,2018,10781572
2018-11-03,224,2018,10781572
2018-11-04,937,2018,10781572
2018-11-05,358,2018,10781572
2018-11-06,161,2018,10781572
2018-11-07,199,2018,10781572
2018-11-08,470,2018,10781572
2018-11-09,805,2018,10781572
2018-11-10,279,2018,10781572
2018-11-11,766,2018,10781572
2018-11-12,277,2018,10781572
2018-11-13,153,2018,10781572
2018-11-14,191,2018,10781572
2018-11-15,317,2018,10781572
2018-11-16,949,2018,10781572
2018-11-17,330,2018,10781572
2018-11-18,703,2018,10781572
2018-11-19,282,2018,10781572
2018-11-20,170,2018,10781572
2018-11-21,163,2018,10781572
2018-11-22,273,2018,10781572
2018-11-23,804,2018,10781572
2018-11-24,244,2018,10781572
2018-11-25,587,2018,10781572
2018-11-26,265,2018,10781572
2018-11-27,183,2018,10781572
2018-11-28,174,2018,10781572
2018-11-29,275,2018,10781572
2018-11-30,779,2018,10781572
2018-12-01,270,2018,10781572
2018-12-02,627,2018,10781572
2018-12-03,245,2018,10781572
2018-12-04,211,2018,10781572
2018-12-05,869,2018,10781572
2018-12-06,513,2018,10781572
2018-12-07,457,2018,10781572
2018-12-08,225,2018,10781572
2018-12-09,883,2018,10781572
2018-12-10,297,2018,10781572
2018-12-11,179,2018,10781572
2018-12-12,156,2018,10781572
2018-12-13,259,2018,10781572
2018-12-14,620,2018,10781572
2018-12-15,266,2018,10781572
2018-12-16,497,2018,10781572
2018-12-17,248,2018,10781572
2018-12-18,159,2018,10781572
2018-12-19,225,2018,10781572
2018-12-20,360,2018,10781572
2018-12-21,1001,2018,10781572
2018-12-22,731,2018,10781572
2018-12-23,572,2018,10781572
2018-12-24,441,2018,10781572
2018-12-25,463,2018,10781572
2018-12-26,439,2018,10781572
2018-12-27,292,2018,10781572
2018-12-28,438,2018,10781572
2018-12-29,416,2018,10781572
2018-12-30,383,2018,10781572
2018-12-31,391,2018,10781572
2019-01-01,513,2019,11356373
2019-01-02,398,2019,11356373
2019-01-03,235,2019,11356373
2019-01-04,482,2019,11356373
2019-01-05,310,2019,11356373
2019-01-06,365,2019,11356373
2019-01-07,638,2019,11356373
2019-01-08,215,2019,11356373
2019-01-09,184,2019,11356373
2019-01-10,207,2019,11356373
2019-01-11,569,2019,11356373
2019-01-12,263,2019,11356373
2019-01-13,495,2019,11356373
2019-01-14,227,2019,11356373
2019-01-15,126,2019,11356373
2019-01-16,123,2019,11356373
2019-01-17,248,2019,11356373
2019-01-18,746,2019,11356373
2019-01-19,278,2019,11356373
2019-01-20,523,2019,11356373
2019-01-21,232,2019,11356373
2019-01-22,185,2019,11356373
2019-01-23,208,2019,11356373
2019-01-24,288,2019,11356373
2019-01-25,778,2019,11356373
2019-01-26,315,2019,11356373
2019-01-27,663,2019,11356373
2019-01-28,355,2019,11356373
2019-01-29,167,2019,11356373
2019-01-30,161,2019,11356373
2019-01-31,256,2019,11356373
2019-02-01,785,2019,11356373
2019-02-02,319,2019,11356373
2019-02-03,678,2019,11356373
2019-02-04,267,2019,11356373
2019-02-05,157,2019,11356373
2019-02-06,182,2019,11356373
2019-02-07,362,2019,11356373
2019-02-08,560,2019,11356373
2019-02-09,265,2019,11356373
2019-02-10,591,2019,11356373
2019-02-11,360,2019,11356373
2019-02-12,195,2019,11356373
2019-02-13,173,2019,11356373
2019-02-14,309,2019,11356373
